Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Id,Customer_name,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode,Product Gender Segment,Delivery Gap,Delivery Performance
DEBIT,6,4,159.69,472.45,Late delivery,1,9,Cardio Equipment,Brownsville,USA,1,Richard Hernandez,Consumer,TX,6303 Heather Plaza,78521,3,Footwear,25.95364761,-97.5076828,Pacific Asia,Mumbai,India,1,27.5,0.06,99.99,0.34,5,499.95,472.45,159.69,South Asia,Maharashtra,Complete,Nike Men's Free 5.0+ Running Shoe,99.99,Standard Class,Men,2,Delayed
DEBIT,4,4,48.71,167.96,Shipping on time,0,29,Shop By Sport,Littleton,USA,2,Mary Barrett,Consumer,CO,9526 Noble Embers Ridge,80126,5,Golf,38.37559509,-104.7260208,LATAM,San Pedro Sula,Honduras,2,31.99,0.16,39.99,0.29,5,199.95,167.96,48.71,Central America,Cortés,On_Hold,Under Armour Girls' Toddler Spine Surge Runni,39.99,Standard Class,Women,0,On-Time
DEBIT,4,4,87.36,181.99,Shipping on time,0,48,Water Sports,Littleton,USA,2,Mary Barrett,Consumer,CO,9526 Noble Embers Ridge,80126,7,Fan Shop,38.37559509,-104.7260208,LATAM,San Pedro Sula,Honduras,2,18,0.09,199.99,0.48,1,199.99,181.99,87.36,Central America,Cortés,On_Hold,Pelican Sunstream 100 Kayak,199.99,Standard Class,Unisex/Other,0,On-Time
DEBIT,6,4,-41.89,175.99,Late delivery,1,48,Water Sports,Littleton,USA,2,Mary Barrett,Consumer,CO,9526 Noble Embers Ridge,80126,7,Fan Shop,38.37559509,-104.7260208,USCA,New York City,Estados Unidos,2,24,0.12,199.99,-0.24,1,199.99,175.99,-41.89,East of USA,Nueva York,Complete,Pelican Sunstream 100 Kayak,199.99,Standard Class,Unisex/Other,2,Delayed
DEBIT,6,4,10,40,Late delivery,1,24,Women's Apparel,Littleton,USA,2,Mary Barrett,Consumer,CO,9526 Noble Embers Ridge,80126,5,Golf,38.37559509,-104.7260208,USCA,New York City,Estados Unidos,2,10,0.2,50,0.25,1,50,40,10,East of USA,Nueva York,Complete,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class,Men,2,Delayed
DEBIT,6,4,105.63,290.98,Late delivery,1,43,Camping & Hiking,Littleton,USA,2,Mary Barrett,Consumer,CO,9526 Noble Embers Ridge,80126,7,Fan Shop,38.37559509,-104.7260208,USCA,New York City,Estados Unidos,2,9,0.03,299.98,0.36,1,299.98,290.98,105.63,East of USA,Nueva York,Complete,Diamondback Women's Serene Classic Comfort Bi,299.98,Standard Class,Women,2,Delayed
DEBIT,4,4,64.1,142.44,Shipping on time,0,46,Indoor/Outdoor Games,Littleton,USA,2,Mary Barrett,Consumer,CO,9526 Noble Embers Ridge,80126,7,Fan Shop,38.37559509,-104.7260208,LATAM,San Pedro Sula,Honduras,2,7.5,0.05,49.98,0.45,3,149.94,142.44,64.1,Central America,Cortés,On_Hold,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,Men,0,On-Time
DEBIT,4,4,22.67,83.97,Shipping on time,0,46,Indoor/Outdoor Games,Littleton,USA,2,Mary Barrett,Consumer,CO,9526 Noble Embers Ridge,80126,7,Fan Shop,38.37559509,-104.7260208,LATAM,San Pedro Sula,Honduras,2,15.99,0.16,49.98,0.27,2,99.96,83.97,22.67,Central America,Cortés,On_Hold,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,Men,0,On-Time
DEBIT,4,4,3.52,351.98,Shipping on time,0,45,Fishing,Littleton,USA,2,Mary Barrett,Consumer,CO,9526 Noble Embers Ridge,80126,7,Fan Shop,38.37559509,-104.7260208,Europe,Rome,Italia,2,48,0.12,399.98,0.01,1,399.98,351.98,3.52,Southern Europe,Lacio,Complete,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class,Men,0,On-Time
DEBIT,4,4,40.34,98.38,Shipping on time,0,17,Cleats,Littleton,USA,2,Mary Barrett,Consumer,CO,9526 Noble Embers Ridge,80126,4,Apparel,38.37559509,-104.7260208,LATAM,San Pedro Sula,Honduras,2,21.6,0.18,59.99,0.41,2,119.98,98.38,40.34,Central America,Cortés,On_Hold,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,Unisex/Other,0,On-Time
PAYMENT,3,4,-131.7,84.97,Advance shipping,0,46,Indoor/Outdoor Games,Littleton,USA,2,Mary Barrett,Consumer,CO,9526 Noble Embers Ridge,80126,7,Fan Shop,38.37559509,-104.7260208,Europe,Munich,Alemania,2,14.99,0.15,49.98,-1.55,2,99.96,84.97,-131.7,Western Europe,Bavaria,Pending_Payment,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,Men,-1,Early
DEBIT,3,4,34.5,74.99,Advance shipping,0,9,Cardio Equipment,Caguas,Puerto Rico,3,Ann Smith,Consumer,PR,3422 Blue Pioneer Bend,725,3,Footwear,18.02537537,-66.61508179,Pacific Asia,Mount Gambier,Australia,3,25,0.25,99.99,0.46,1,99.99,74.99,34.5,Oceania,Australia del Sur,Complete,Nike Men's Free 5.0+ Running Shoe,99.99,Standard Class,Men,-1,Early
DEBIT,3,4,10.8,40,Advance shipping,0,24,Women's Apparel,Caguas,Puerto Rico,3,Ann Smith,Consumer,PR,3422 Blue Pioneer Bend,725,5,Golf,18.02537537,-66.61508179,Pacific Asia,Mount Gambier,Australia,3,10,0.2,50,0.27,1,50,40,10.8,Oceania,Australia del Sur,Complete,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class,Men,-1,Early
DEBIT,4,4,-42.61,24.35,Shipping on time,0,13,Electronics,Caguas,Puerto Rico,3,Ann Smith,Consumer,PR,3422 Blue Pioneer Bend,725,3,Footwear,18.02537537,-66.61508179,USCA,Yonkers,Estados Unidos,3,3.64,0.13,27.99,-1.75,1,27.99,24.35,-42.61,East of USA,Nueva York,Complete,Under Armour Kids' Mercenary Slide,27.99,Standard Class,Unisex/Other,0,On-Time
DEBIT,3,4,27.41,94.5,Advance shipping,0,24,Women's Apparel,Caguas,Puerto Rico,3,Ann Smith,Consumer,PR,3422 Blue Pioneer Bend,725,5,Golf,18.02537537,-66.61508179,Pacific Asia,Mount Gambier,Australia,3,5.5,0.06,50,0.29,2,100,94.5,27.41,Oceania,Australia del Sur,Complete,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class,Men,-1,Early
DEBIT,4,4,-274.39,391.98,Shipping on time,0,45,Fishing,Caguas,Puerto Rico,3,Ann Smith,Consumer,PR,3422 Blue Pioneer Bend,725,7,Fan Shop,18.02537537,-66.61508179,USCA,Yonkers,Estados Unidos,3,8,0.02,399.98,-0.7,1,399.98,391.98,-274.39,East of USA,Nueva York,Complete,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class,Men,0,On-Time
TRANSFER,4,4,83.69,269.98,Shipping on time,0,43,Camping & Hiking,Caguas,Puerto Rico,3,Ann Smith,Consumer,PR,3422 Blue Pioneer Bend,725,7,Fan Shop,18.02537537,-66.61508179,LATAM,Tegucigalpa,Honduras,3,30,0.1,299.98,0.31,1,299.98,269.98,83.69,Central America,Francisco Morazán,Pending,Diamondback Women's Serene Classic Comfort Bi,299.98,Standard Class,Women,0,On-Time
TRANSFER,4,4,108.23,263.98,Shipping on time,0,43,Camping & Hiking,Caguas,Puerto Rico,3,Ann Smith,Consumer,PR,3422 Blue Pioneer Bend,725,7,Fan Shop,18.02537537,-66.61508179,LATAM,Tegucigalpa,Honduras,3,36,0.12,299.98,0.41,1,299.98,263.98,108.23,Central America,Francisco Morazán,Pending,Diamondback Women's Serene Classic Comfort Bi,299.98,Standard Class,Women,0,On-Time
